Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
30.9899,-0.274658,-0.0488281,9.92432,0.00305176,-0.0274658,-0.00610352,0.000305176,0,0,3.95813,-66.6656,-66.6656,-66.6656,-66.6656,-0.109863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0014,-0.274658,-0.0488281,9.92432,0.00305176,-0.0274658,-0.00610352,0.000305176,0,0,3.95813,-66.6656,-66.6656,-66.6656,-66.6656,-0.109863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0049,-0.274658,-0.0488281,9.92432,0.00305176,-0.0274658,-0.00610352,0.000305176,0,0,3.95813,-66.6656,-66.6656,-66.6656,-66.6656,-0.109863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0098,-0.274658,-0.0518799,9.92432,0.00305176,-0.0274658,-0.00915527,0.000305176,0,0,3.95813,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0129,-0.274658,-0.0518799,9.92432,0.00305176,-0.0274658,-0.00915527,0.000305176,0,0,3.95813,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0191,-0.274658,-0.0518799,9.92432,0.00305176,-0.0274658,-0.00610352,0.000305176,0,0,3.87268,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0241,-0.274658,-0.0518799,9.92432,0.00305176,-0.0274658,-0.00610352,0.000305176,0,0,3.87268,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0276,-0.274658,-0.0518799,9.92432,0,-0.0274658,-0.00610352,0.000305176,0,0,3.85742,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.032,-0.274658,-0.0518799,9.92432,0,-0.0274658,-0.00610352,0.000305176,0,0,3.85742,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0387,-0.274658,-0.0518799,9.92432,0.00610352,-0.0274658,-0.00610352,0.000305176,0,0,3.85742,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0439,-0.274658,-0.0518799,9.92432,0.00610352,-0.0305176,-0.00610352,0.000305176,0,0,3.85742,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0489,-0.274658,-0.0518799,9.92432,0.00610352,-0.0274658,-0.00610352,0.000305176,0,0,3.85742,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.054,-0.274658,-0.0518799,9.92432,0.00305176,-0.0274658,-0.00610352,0.000305176,0,0,3.85742,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
31.0621,-0.274658,-0.0518799,9.92432,0,-0.0213623,-0.00610352,0.000305176,0,0,3.85742,-66.6656,-66.6656,-66.6656,-66.6656,-0.106812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6
