Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
0.074052,-0.631714,9.83887,-0.250244,0.0518799,-0.012207,-0.0274658,0.000305176,0,0,4.11682,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2
0.083183,-0.637817,9.83887,-0.250244,0.0488281,-0.0152588,-0.0335693,0.000305176,0,0,4.11987,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2
0.088371,-0.637817,9.83887,-0.250244,0.0488281,-0.0152588,-0.0335693,0.000305176,0,0,4.11682,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2
0.104256,-0.643921,9.83887,-0.247192,0.0427246,-0.0152588,-0.0335693,0.000305176,0,0,4.11682,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2
0.11198,-0.616455,9.82666,-0.289917,0.00305176,-0.0213623,-0.0213623,0.000305176,0,0,4.13208,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.115228,-0.616455,9.82361,-0.289917,0.00305176,-0.0213623,-0.0213623,0.000305176,0,0,4.13208,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.120013,-0.619507,9.82361,-0.289917,0.00305176,-0.0213623,-0.0244141,0.000305176,0,0,4.13208,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.123202,-0.619507,9.82361,-0.289917,0.00305176,-0.0213623,-0.0244141,0.000305176,0,0,4.13208,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.127958,-0.62561,9.82361,-0.289917,0.00610352,-0.0213623,-0.0274658,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.132667,-0.62561,9.82361,-0.289917,0.00610352,-0.0244141,-0.0305176,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.139271,-0.628662,9.82361,-0.292969,0.00305176,-0.0213623,-0.0274658,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.142375,-0.628662,9.82361,-0.292969,0.00305176,-0.0213623,-0.0274658,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.147023,-0.628662,9.82361,-0.292969,0.00305176,-0.0213623,-0.0274658,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.150109,-0.628662,9.82361,-0.292969,0.00305176,-0.0213623,-0.0274658,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.155135,-0.631714,9.82666,-0.292969,0.00305176,-0.0213623,-0.0274658,0.000305176,0,0,4.13208,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.159839,-0.631714,9.82666,-0.292969,0.00305176,-0.0244141,-0.0274658,0.000305176,0,0,4.13208,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.164675,-0.631714,9.82666,-0.292969,0.00305176,-0.0244141,-0.0274658,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.175428,-0.631714,9.82666,-0.292969,0,-0.0213623,-0.0274658,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.181753,-0.631714,9.82666,-0.292969,0,-0.0244141,-0.0274658,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.184992,-0.631714,9.82666,-0.292969,0,-0.0244141,-0.0274658,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.189784,-0.628662,9.82666,-0.292969,0,-0.0244141,-0.0244141,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.192991,-0.628662,9.82666,-0.292969,0,-0.0213623,-0.0244141,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.198083,-0.628662,9.82666,-0.292969,0,-0.0244141,-0.0244141,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.201356,-0.62561,9.82666,-0.292969,0,-0.0213623,-0.0213623,0.000305176,0,0,4.12598,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
0.204539,-0.62561,9.82666,-0.292969,0,-0.0213623,-0.0213623,0.000305176,0,0,4.13208,-99.9969,-99.9969,-99.9969,-99.9969,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
