Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
1.90173,-0.00305176,-0.00305176,0.00610352,0,-0.00305176,-0.00305176,0.000305176,0,0,0,-99.9969,-99.9969,-99.9969,-99.9969,0,0,0,0,-0.00305176,-0.00305176,-0.00305176,0,0,0,nan,nan,0,0
1.90484,-0.00305176,-0.00305176,0.0244141,0,-0.00610352,-0.00305176,0.000305176,0,0,0,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,-0.00610352,-0.00305176,-0.00305176,0,0,0,nan,nan,0,0
1.90977,-0.00305176,-0.00305176,0.106812,0,-0.0152588,-0.00610352,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,-0.0152588,-0.00610352,-0.00305176,0,0,0,nan,nan,0,0
1.91329,-0.00610352,-0.00305176,0.164795,0,-0.0183105,-0.00915527,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,-0.0183105,-0.00915527,-0.00305176,0,0,0,nan,nan,0,0
1.91666,-0.00610352,-0.00305176,0.238037,0.00305176,-0.0213623,-0.00915527,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0.00305176,-0.0213623,-0.00915527,-0.00305176,0,0,0,nan,nan,0,0
1.93658,-0.0213623,-0.012207,1.01624,0.00305176,-0.012207,-0.012207,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0.00305176,-0.012207,-0.012207,-0.00305176,0.00305176,0,0,nan,nan,0,0
1.94083,-0.0335693,-0.0213623,1.61743,0.00305176,-0.0244141,-0.012207,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.0213623,-0.012207,0,0.00305176,0,0,nan,nan,0,0
1.9489,-0.0488281,-0.0305176,2.46582,0.00305176,-0.0335693,-0.0152588,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.0335693,-0.0152588,0,0.00610352,0,0,nan,nan,0,0
1.95207,-0.0518799,-0.0335693,2.64282,0.00305176,-0.0335693,-0.0152588,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.0335693,-0.0152588,0.00305176,0.00610352,0,0,nan,nan,0,0
1.95554,-0.0549316,-0.0366211,2.82288,0.00305176,-0.0335693,-0.0152588,0.000305176,0,0,3.87268,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.0305176,-0.0152588,0.00305176,0.00610352,0,0,nan,nan,0,0
1.96365,-0.0671387,-0.0457764,3.54919,0.00305176,-0.0274658,-0.0152588,0.000305176,0,0,3.87268,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.0274658,-0.0152588,0.00610352,0.00305176,0,0,nan,nan,0,0
1.9668,-0.0732422,-0.0518799,3.91235,0.00305176,-0.0274658,-0.012207,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.0274658,-0.012207,0.00610352,0.00305176,0,0,nan,nan,0,0
1.97329,-0.0793457,-0.0549316,4.27551,0.00305176,-0.0305176,-0.0152588,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.0305176,-0.0152588,0.00915527,0,0,0,nan,nan,0,0
1.97997,-0.0854492,-0.0640869,4.80957,0.00305176,-0.0396729,-0.0152588,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.0366211,-0.0152588,0.0152588,0,0,0,nan,nan,0,0
1.98619,-0.0915527,-0.0671387,5.15747,0.00610352,-0.0396729,-0.0152588,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00610352,-0.0396729,-0.0152588,0.0183105,0,0,0,nan,nan,0,0
1.99099,-0.0976562,-0.0732422,5.49927,0.00610352,-0.0274658,-0.0152588,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,0,-0.00305176,0.00610352,-0.0244141,-0.0152588,0.0213623,-0.00305176,0,0,nan,nan,0,0
1.99711,-0.106812,-0.0793457,5.99365,0,-0.012207,-0.00915527,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,0,-0.00305176,-0.00305176,-0.012207,-0.00915527,0.0244141,-0.00915527,0,0,nan,nan,0,0
2.00422,-0.119019,-0.0854492,6.46362,0.00305176,-0.0488281,-0.012207,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,0,-0.00305176,0,-0.0488281,-0.00915527,0.0305176,-0.012207,0,0,nan,nan,0,0
2.00906,-0.125122,-0.0915527,6.75964,0.00305176,-0.0640869,-0.0152588,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,0,-0.00305176,0.00305176,-0.0610352,-0.0152588,0.0335693,-0.012207,0,0,nan,nan,0,0
2.0198,-0.143433,-0.100708,7.44934,0.00305176,0.00305176,-0.0152588,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,0,-0.00305176,0,0.00610352,-0.0152588,0.0427246,-0.0244141,0,0,nan,nan,0,0
2.02476,-0.146484,-0.10376,7.70264,0.00305176,0.00610352,-0.0152588,0.000305176,0,0,3.86658,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,0,-0.00305176,0.00305176,0.00915527,-0.0152588,0.0457764,-0.0335693,0,0,nan,nan,0,0
