Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
0.109879,2.36511,-0.143433,9.58557,0.00305176,-0.0274658,-0.0183105,0.000305176,0,0,3.82385,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,-0.00305176,-0.00305176,-0.372314,-5.91125,0.0579834,0,nan,nan,0,0
0.116269,2.35596,-0.131226,9.58862,0.00305176,-0.0274658,-0.0152588,0.000305176,0,0,3.82385,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,-0.00305176,0,-0.372314,-5.92041,0.0579834,0,nan,nan,0,0
0.121102,2.35291,-0.128174,9.59167,0.00305176,-0.0274658,-0.0152588,0.000305176,0,0,3.82385,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,-0.00305176,0,-0.369263,-5.92346,0.0579834,0,nan,nan,0,0
0.127801,2.34375,-0.125122,9.59473,0.00305176,-0.0274658,-0.0183105,0.000305176,0,0,3.82385,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,-0.00305176,-0.00305176,-0.369263,-5.92651,0.0579834,0,nan,nan,0,0
0.134633,2.3407,-0.125122,9.59473,0,-0.0274658,-0.0183105,0.000305176,0,0,3.82385,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,-0.00305176,-0.00305176,-0.366211,-5.92651,0.0579834,0,nan,nan,0,0
0.137705,2.33765,-0.125122,9.59778,0,-0.0274658,-0.0152588,0.000305176,0,0,3.82385,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,-0.00305176,-0.00305176,-0.366211,-5.92651,0.0579834,0,nan,nan,0,0
0.140952,2.33459,-0.125122,9.59778,0.00305176,-0.0274658,-0.0152588,0.000305176,0,0,3.82385,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,-0.00305176,-0.00305176,-0.366211,-5.92651,0.0579834,0,nan,nan,0,0
0.144576,2.33459,-0.12207,9.59778,0.00305176,-0.0274658,-0.0152588,0.000305176,0,0,3.8208,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,-0.00305176,-0.00305176,-0.366211,-5.92957,0.0579834,0,nan,nan,0,0
0.149562,2.32849,-0.125122,9.60083,0.00305176,-0.0274658,-0.0152588,0.000305176,0,0,3.8208,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,-0.00305176,-0.00305176,-0.363159,-5.92957,0.0579834,0,nan,nan,0,0
0.155948,2.31934,-0.125122,9.60388,0.00305176,-0.0274658,-0.0152588,0.000305176,0,0,3.8208,-99.9969,-99.9969,-99.9969,-99.9969,-0.0152588,-0.238037,-0.0305176,-0.00305176,0,0,-0.363159,-5.92957,0.0579834,0,nan,nan,0,0
