Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
0.067534,-0.00305176,-0.00610352,0.164795,0,-0.0152588,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,-0.0152588,-0.012207,-0.00305176,0.00305176,0,0,nan,nan,0,0
0.070563,-0.00915527,-0.0152588,0.747681,0.00305176,-0.0183105,-0.0183105,0.000305176,0,0,3.78418,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.0183105,-0.0183105,0,0.00915527,0,0,nan,nan,0,0
0.073655,-0.0152588,-0.0244141,1.30005,0.00305176,-0.0183105,-0.0183105,0.000305176,0,0,3.78418,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0,-0.0183105,-0.0183105,0.00305176,0.0152588,0,0,nan,nan,0,0
0.077008,-0.0244141,-0.0366211,2.10876,0.00305176,-0.00915527,-0.0183105,0.000305176,0,0,3.78418,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,-0.00915527,-0.0183105,0.00915527,0.0152588,0,0,nan,nan,0,0
0.080155,-0.0305176,-0.0457764,2.81372,0.00305176,0.00305176,-0.0152588,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,-0.00305176,-0.00305176,0.00305176,0.00305176,-0.0152588,0.0152588,0.00915527,0,0,nan,nan,0,0
0.084038,-0.0366211,-0.0579834,3.53699,0.00610352,0.00915527,-0.0152588,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,0,-0.00305176,0.00610352,0.00915527,-0.0152588,0.0213623,-0.00305176,0,0,nan,nan,0,0
0.095788,-0.0488281,-0.0701904,4.44031,0.00305176,-0.0183105,-0.0152588,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.00305176,0,-0.00305176,0.00305176,-0.0183105,-0.0152588,0.0366211,-0.0152588,0,0,nan,nan,0,0
0.099093,-0.15564,-0.17395,9.97925,0.00915527,-0.411987,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,0.00610352,0.0152588,0.00305176,-0.384521,0,0.827026,-0.32959,-0.0335693,0,nan,nan,0,0
0.102228,-0.149536,-0.17395,9.97925,0.00915527,-0.457764,-0.0152588,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,0.00305176,0.0152588,0.00610352,-0.430298,-0.00305176,0.827026,-0.292969,-0.0335693,0,nan,nan,0,0
0.106935,-0.137329,-0.17395,9.97925,0.012207,-0.537109,-0.0183105,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,0.00305176,0.0152588,0.00610352,-0.509644,-0.00610352,0.827026,-0.204468,-0.0335693,0,nan,nan,0,0
0.110291,-0.125122,-0.17395,9.97925,0.012207,-0.588989,-0.0213623,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,0,0.0152588,0.00610352,-0.561523,-0.00915527,0.823975,-0.10376,-0.0335693,0,nan,nan,0,0
0.119707,-0.0671387,-0.17395,9.97925,0.00610352,-0.55542,-0.0244141,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.00915527,0.0152588,0.00305176,-0.527954,-0.012207,0.823975,0.390625,-0.0335693,0,nan,nan,0,0
0.125274,-0.0549316,-0.17395,9.97925,0.00610352,-0.534058,-0.0274658,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.012207,0.0152588,0.00305176,-0.509644,-0.012207,0.823975,0.521851,-0.0335693,0,nan,nan,0,0
0.129874,-0.0427246,-0.17395,9.9823,0.00610352,-0.518799,-0.0274658,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.012207,0.0152588,0.00305176,-0.491333,-0.012207,0.827026,0.604248,-0.0335693,0,nan,nan,0,0
0.134574,-0.0244141,-0.170898,9.9823,0.00610352,-0.500488,-0.0274658,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0152588,0.0152588,0.00305176,-0.473022,-0.012207,0.823975,0.723267,-0.0335693,0,nan,nan,0,0
0.139489,-0.00915527,-0.170898,9.9823,0.00915527,-0.494385,-0.0274658,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0183105,0.0152588,0.00305176,-0.466919,-0.012207,0.823975,0.799561,-0.0335693,0,nan,nan,0,0
0.142671,-0.00305176,-0.170898,9.9823,0.00610352,-0.491333,-0.0274658,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0183105,0.0152588,0.00305176,-0.463867,-0.012207,0.823975,0.836182,-0.0335693,0,nan,nan,0,0
0.145812,0.012207,-0.170898,9.9823,0.00610352,-0.488281,-0.0244141,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0183105,0.0152588,0.00305176,-0.460815,-0.012207,0.823975,0.912476,-0.0335693,0,nan,nan,0,0
0.150421,0.0274658,-0.170898,9.9823,0.00610352,-0.491333,-0.0244141,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0213623,0.0152588,0.00305176,-0.463867,-0.00915527,0.823975,0.98877,-0.0335693,0,nan,nan,0,0
0.155383,0.0427246,-0.170898,9.9823,0.00610352,-0.500488,-0.0244141,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0213623,0.0152588,0.00305176,-0.476074,-0.012207,0.823975,1.06506,-0.0335693,0,nan,nan,0,0
0.16041,0.0671387,-0.170898,9.9823,0.00610352,-0.521851,-0.0244141,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0244141,0.0152588,0.00305176,-0.494385,-0.012207,0.823975,1.18408,-0.0335693,0,nan,nan,0,0
0.165296,0.0854492,-0.170898,9.9823,0.00915527,-0.534058,-0.0244141,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0274658,0.0152588,0.00305176,-0.506592,-0.00915527,0.823975,1.26953,-0.0335693,0,nan,nan,0,0
0.171007,0.109863,-0.170898,9.9823,0.012207,-0.552368,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0305176,0.0152588,0.00915527,-0.527954,0.00305176,0.823975,1.40076,-0.0335693,0,nan,nan,0,0
0.174135,0.119019,-0.170898,9.9823,0.0152588,-0.561523,-0.00915527,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0305176,0.0152588,0.00915527,-0.534058,0.00305176,0.820923,1.44348,-0.0335693,0,nan,nan,0,0
0.182128,0.140381,-0.17395,9.9823,0.0152588,-0.588989,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0335693,0.0152588,0.012207,-0.561523,0.00305176,0.817871,1.62964,-0.0335693,0,nan,nan,0,0
0.185294,0.149536,-0.17395,9.9823,0.0152588,-0.595093,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0335693,0.0152588,0.012207,-0.567627,0,0.817871,1.67847,-0.0335693,0,nan,nan,0,0
0.190091,0.177002,-0.17395,9.9823,0.012207,-0.6073,-0.0213623,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0366211,0.0152588,0.00915527,-0.579834,-0.00610352,0.814819,1.8219,-0.0335693,0,nan,nan,0,0
0.203272,0.256348,-0.170898,9.97925,0.00915527,-0.62561,-0.0183105,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0457764,0.0152588,0.00610352,-0.598145,-0.00610352,0.814819,2.17285,-0.0335693,0,nan,nan,0,0
0.206606,0.268555,-0.170898,9.97925,0.00915527,-0.631714,-0.0183105,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0457764,0.0152588,0.00610352,-0.604248,-0.00305176,0.814819,2.22168,-0.0335693,0,nan,nan,0,0
0.213053,0.302124,-0.170898,9.9762,0.012207,-0.646973,-0.0183105,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0488281,0.0152588,0.00610352,-0.619507,-0.00610352,0.811768,2.38037,-0.0335693,0,nan,nan,0,0
0.230849,0.357056,-0.170898,9.97314,0.012207,-0.67749,-0.0183105,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0549316,0.0152588,0.00610352,-0.650024,-0.00610352,0.811768,2.65808,-0.0335693,0,nan,nan,0,0
0.237182,0.39978,-0.170898,9.97009,0.012207,-0.714111,-0.0152588,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0579834,0.0152588,0.00610352,-0.686646,-0.00305176,0.808716,2.89307,-0.0335693,0,nan,nan,0,0
0.240585,0.421143,-0.170898,9.96704,0.012207,-0.741577,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0610352,0.0152588,0.00610352,-0.714111,0,0.808716,3.01819,-0.0335693,0,nan,nan,0,0
0.24377,0.430298,-0.170898,9.96704,0.012207,-0.756836,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0640869,0.0152588,0.00915527,-0.72937,0,0.808716,3.08228,-0.0335693,0,nan,nan,0,0
0.246972,0.45166,-0.170898,9.96399,0.012207,-0.787354,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0671387,0.0152588,0.00915527,-0.759888,0,0.808716,3.2135,-0.0335693,0,nan,nan,0,0
0.251856,0.534058,-0.167847,9.95483,0.012207,-0.909424,-0.0152588,0.000305176,0,0,3.77197,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0762939,0.0152588,0.00610352,-0.881958,-0.00305176,0.805664,3.72314,-0.0335693,0,nan,nan,0,0
0.255045,0.546265,-0.167847,9.95483,0.012207,-0.924683,-0.0152588,0.000305176,0,0,3.77197,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0762939,0.0152588,0.00610352,-0.900269,-0.00305176,0.805664,3.80554,-0.0335693,0,nan,nan,0,0
0.259996,0.582886,-0.167847,9.94873,0.00915527,-0.979614,-0.0152588,0.000305176,0,0,3.77197,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0823975,0.0152588,0.00610352,-0.952148,-0.00305176,0.802612,4.05273,-0.0335693,0,nan,nan,0,0
0.266424,0.622559,-0.167847,9.94568,0.00915527,-1.02234,-0.0152588,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.088501,0.0152588,0.00610352,-0.994873,0,0.802612,4.31213,-0.0335693,0,nan,nan,0,0
0.271433,0.650024,-0.164795,9.94263,0.00915527,-1.0437,-0.0152588,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0915527,0.0152588,0.00610352,-1.01929,0,0.802612,4.49219,-0.0335693,0,nan,nan,0,0
0.274733,0.662231,-0.164795,9.94263,0.00915527,-1.05591,-0.0152588,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,-0.0183105,-0.0946045,0.0152588,0.00610352,-1.02844,0,0.802612,4.58069,-0.0335693,0,nan,nan,0,0
