Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
7.55428,0,-0.00305176,0.00610352,0,-0.00305176,-0.00305176,0.000305176,0,0,0,-99.9969,-99.9969,-99.9969,-99.9969,0,0,0,0,-0.00305176,-0.00305176,-0.00305176,0,0,0,nan,nan,0,0
7.55916,0,-0.00305176,0.0579834,0,-0.00915527,-0.00305176,0.000305176,0,0,0,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,-0.00915527,-0.00305176,-0.00305176,0,0,0,nan,nan,0,0
7.56236,0,-0.00305176,0.106812,0,-0.012207,-0.00610352,0.000305176,0,0,3.77197,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,-0.012207,-0.00610352,-0.00305176,0.00305176,0,0,nan,nan,0,0
7.56575,0,-0.00305176,0.164795,0.00305176,-0.0183105,-0.00610352,0.000305176,0,0,3.77197,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0.00305176,-0.0183105,-0.00610352,-0.00305176,0.00610352,0,0,nan,nan,0,0
7.572,0.00305176,-0.00610352,0.415039,0.00305176,-0.0244141,-0.00915527,0.000305176,0,0,3.77197,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0.00305176,-0.0244141,-0.00915527,-0.00610352,0.0213623,0,0,nan,nan,0,0
7.57835,0.00915527,-0.00915527,0.750732,0.00305176,-0.0305176,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0.00305176,-0.0305176,-0.012207,-0.00610352,0.0366211,0,0,nan,nan,0,0
7.58156,0.00915527,-0.00915527,0.878906,0.00305176,-0.0305176,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0.00305176,-0.0305176,-0.012207,-0.00610352,0.0457764,0,0,nan,nan,0,0
7.58477,0.012207,-0.00915527,1.01624,0.00305176,-0.0305176,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0.00305176,-0.0305176,-0.012207,-0.00610352,0.0518799,0,0,nan,nan,0,0
7.59457,0.0213623,-0.0152588,1.77917,0.00305176,-0.0274658,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0.00305176,-0.0274658,-0.012207,-0.00610352,0.0854492,0,0,nan,nan,0,0
7.59799,0.0244141,-0.0152588,1.94702,0.00305176,-0.0244141,-0.012207,0.000305176,0,0,3.77808,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0.00305176,-0.0244141,-0.012207,-0.00610352,0.0915527,0,0,nan,nan,0,0
