Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
17.5667,-0.00305176,0,0.0244141,0,-0.00610352,-0.00305176,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
17.5714,-0.00305176,0,0.106812,0,-0.0183105,-0.00610352,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
17.5745,-0.00305176,0,0.164795,0,-0.0213623,-0.00915527,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
17.5794,-0.00610352,0,0.320435,0,-0.0274658,-0.00915527,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
17.5858,-0.00915527,0.00305176,0.631714,0,-0.0305176,-0.012207,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
17.589,-0.012207,0.00305176,0.881958,0,-0.0305176,-0.012207,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
17.5951,-0.0183105,0.00610352,1.3092,0,-0.0305176,-0.012207,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
17.6112,-0.0335693,0.012207,2.47192,0,-0.0274658,-0.012207,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
17.616,-0.0396729,0.0152588,2.82898,0,-0.0274658,-0.012207,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
17.6194,-0.0427246,0.0152588,3.00903,0,-0.0274658,-0.012207,0.000305176,0,0,4.0741,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
