Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
43.7652,-0.00305176,0,0.0244141,0,-0.00610352,-0.00305176,0.000305176,0,0,4.14734,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.7759,-0.00610352,0,0.238037,0.00305176,-0.0213623,-0.00915527,0.000305176,0,0,4.14734,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.7797,-0.00610352,0,0.320435,0.00305176,-0.0244141,-0.012207,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.7878,-0.0152588,0.00305176,0.753784,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.7918,-0.0152588,0.00305176,0.881958,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14734,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8003,-0.0244141,0.00610352,1.3092,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14734,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8033,-0.0274658,0.00915527,1.46179,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14734,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8064,-0.0305176,0.00915527,1.62048,0,-0.0274658,-0.012207,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8153,-0.0396729,0.012207,2.29492,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8221,-0.0457764,0.0152588,2.64893,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8292,-0.0549316,0.0183105,3.18909,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8323,-0.0610352,0.0213623,3.37219,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8596,-0.0915527,0.0335693,5.16968,0,-0.0244141,-0.012207,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8698,-0.109863,0.0396729,6.16455,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8743,-0.115967,0.0427246,6.47583,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8778,-0.119019,0.0427246,6.62842,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8877,-0.131226,0.0488281,7.46765,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8917,-0.134277,0.0488281,7.59888,0.00305176,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8954,-0.137329,0.0488281,7.724,0.00305176,-0.0244141,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.8987,-0.140381,0.0518799,7.96509,0,-0.0244141,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.9041,-0.146484,0.0549316,8.30078,0,-0.0244141,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.9269,-0.164795,0.0610352,9.35974,0,-0.0274658,-0.012207,0.000305176,0,0,4.13818,-99.9969,-99.9969,-99.9969,-99.9969,0,0,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.938,-0.170898,0.0640869,9.67407,0,-0.0274658,-0.0152588,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.942,-0.170898,0.0640869,9.729,0,-0.0274658,-0.012207,0.000305176,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0,0.00305176,-0.00305176,0,0,0,0,0,0,11.8073,nan,nan,0,0
43.9949,-0.183105,0.0732422,10.4065,0,-0.0274658,-0.012207,0.0332642,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0.00305176,0.00305176,-0.00305176,-0.00305176,0,0.289917,0.0152588,0,0,10.9222,nan,nan,0,0
44.0015,-0.183105,0.0732422,10.4279,0,-0.0274658,-0.012207,0.0332642,0,0,4.14124,-99.9969,-99.9969,-99.9969,-99.9969,0.00305176,0.00305176,-0.00305176,-0.00305176,0,0.289917,0.0183105,0,0,10.9161,nan,nan,0,0
