Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
7.20709,-0.00305176,0,0.0244141,-0.00305176,-0.00915527,-0.00305176,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,0,0,0,0,0,0,0,0,0,0,0,0
7.21395,-0.00305176,0,0.167847,0,-0.0244141,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.21707,-0.00305176,0,0.238037,0,-0.0274658,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.22018,-0.00305176,0,0.323486,0,-0.0305176,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.22662,-0.00305176,0,0.634766,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.23125,-0.00610352,0,0.888062,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.23582,-0.00610352,0,1.16577,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.24067,-0.00915527,0.00305176,1.47095,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.24422,-0.00915527,0.00305176,1.62964,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.25052,-0.00915527,0.00305176,2.13318,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.2641,-0.012207,0.00305176,2.48413,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.27907,-0.0152588,0.00610352,3.94287,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.28551,-0.0152588,0.00610352,4.30908,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.29084,-0.0183105,0.00610352,4.48914,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.29944,-0.0183105,0.00610352,5.2002,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.30346,-0.0183105,0.00610352,5.37109,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.30671,-0.0183105,0.00915527,5.54199,0,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.31464,-0.0213623,0.00915527,6.20117,0,-0.0335693,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
7.32512,-0.0213623,0.00915527,6.95801,-0.00305176,-0.0366211,-0.00610352,0.000305176,0,0,3.9093,-99.9969,-99.9969,-99.9969,-99.9969,0,-0.00305176,-0.00305176,0,0,0,0,0,0,0,0,0,0,0
