Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
0.120773,-0.0915527,-0.115967,10.0922,0,-0.0366211,-0.00915527,0.0350952,0,-0.152893,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00610352,-0.00610352,-0.00305176,-0.00305176,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.130476,-0.0946045,-0.115967,10.0922,0,-0.0366211,-0.00915527,0.0350952,0,0.215149,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00610352,-0.00610352,-0.00305176,0,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.141452,-0.0946045,-0.115967,10.0922,0,-0.0335693,-0.012207,0.0350952,0,0.215149,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00610352,-0.00610352,-0.00305176,0,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.145223,-0.0946045,-0.115967,10.0922,0,-0.0335693,-0.012207,0.0350952,0,0.215149,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00610352,-0.00610352,-0.00305176,0,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.150664,-0.0946045,-0.115967,10.0922,0,-0.0366211,-0.012207,0.0350952,0,0.215149,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00610352,-0.00610352,-0.00305176,0,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.154733,-0.0946045,-0.115967,10.0922,0,-0.0366211,-0.00915527,0.0350952,0.0759888,-0.0769043,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00610352,-0.00610352,0,-0.00305176,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.161232,-0.0946045,-0.115967,10.0922,-0.00305176,-0.0366211,-0.00915527,0.0350952,0.0759888,-0.0769043,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00610352,-0.00610352,0,-0.00305176,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.245521,-0.0946045,-0.115967,10.0922,-0.00305176,-0.0366211,-0.00915527,0.0360107,-0.0723267,0.0714111,3.98865,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00305176,0,0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.248999,-0.0946045,-0.115967,10.0922,-0.00305176,-0.0366211,-0.00915527,0.0360107,-0.0723267,0.0714111,3.98865,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00305176,0,0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.252535,-0.0976562,-0.115967,10.0922,-0.00305176,-0.0366211,-0.00915527,0.0360107,-0.0723267,0.0714111,3.98865,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00305176,0,0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.256173,-0.0976562,-0.115967,10.0922,0,-0.0366211,-0.00915527,0.0360107,-0.0723267,0.0714111,3.98865,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00305176,0,0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.259661,-0.0976562,-0.115967,10.0922,0,-0.0366211,-0.00915527,0.0360107,0.162048,0,3.98865,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,0,0,0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.269981,-0.0946045,-0.115967,10.0891,0,-0.0366211,-0.00915527,0.0360107,0.162048,0,3.98865,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,0,0,0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.277041,-0.0946045,-0.115967,10.0891,0,-0.0366211,-0.00915527,0.0360107,0.162048,0,3.98865,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,0,0,0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.289015,-0.0976562,-0.115967,10.0891,0,-0.0335693,-0.00915527,0.0360107,0.430298,-0.143738,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,0.00610352,-0.00305176,0,0.0335693,0,-0.00305176,0,-0.00305176,0.00305176,0,0
0.297859,-0.0976562,-0.119019,10.0891,0,-0.0335693,-0.00915527,0.0360107,0.430298,-0.143738,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,0.00610352,-0.00305176,0,0.0335693,0,-0.00305176,0,-0.00305176,0.00305176,0,0
0.30638,-0.0976562,-0.119019,10.0891,0,-0.0335693,-0.00915527,0.0360107,0.430298,-0.143738,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,0.00610352,-0.00305176,0,0.0335693,0,-0.00305176,0,-0.00305176,0.00305176,0,0
0.31431,-0.0976562,-0.119019,10.0891,0,-0.0335693,-0.00915527,0.0360107,-0.488892,0.325012,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00610352,0.00305176,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.317564,-0.0976562,-0.119019,10.0891,0,-0.0335693,-0.00915527,0.0360107,-0.488892,0.325012,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00610352,0.00305176,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.326046,-0.0976562,-0.119019,10.0891,0,-0.0335693,-0.00915527,0.0360107,-0.488892,0.325012,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00610352,0.00305176,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.343093,-0.0976562,-0.115967,10.0922,0,-0.0366211,-0.00915527,0.0360107,-0.488892,0.325012,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00610352,0.00305176,0,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.349349,-0.100708,-0.115967,10.0922,0,-0.0335693,-0.00915527,0.0341797,-0.229797,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00915527,0,-0.0183105,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.352639,-0.100708,-0.115967,10.0922,0,-0.0335693,-0.00915527,0.0341797,-0.229797,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00915527,0,-0.0183105,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.36832,-0.100708,-0.115967,10.0922,0,-0.0335693,-0.00610352,0.0341797,-0.229797,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00915527,0,-0.0183105,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.373094,-0.100708,-0.115967,10.0922,0,-0.0335693,-0.00915527,0.0341797,-0.229797,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00915527,0,-0.0183105,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.37628,-0.100708,-0.115967,10.0922,0,-0.0366211,-0.00915527,0.0341797,-0.229797,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00915527,0,-0.0183105,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.381152,-0.100708,-0.119019,10.0922,-0.00305176,-0.0366211,-0.00915527,0.0341797,-0.229797,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00915527,0,-0.0183105,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.386835,-0.100708,-0.119019,10.0922,-0.00305176,-0.0366211,-0.00915527,0.0350952,0,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00610352,0,-0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.393019,-0.100708,-0.119019,10.0922,0,-0.0335693,-0.00915527,0.0350952,0,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00610352,0,-0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.397895,-0.100708,-0.119019,10.0952,0,-0.0335693,-0.00915527,0.0350952,0,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00610352,0,-0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.402587,-0.100708,-0.119019,10.0952,0,-0.0335693,-0.00915527,0.0350952,0,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00610352,0,-0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.405689,-0.100708,-0.119019,10.0952,0,-0.0335693,-0.00915527,0.0350952,0,0,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00610352,0,-0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
0.410451,-0.100708,-0.119019,10.0952,-0.00305176,-0.0335693,-0.00915527,0.0350952,0.142822,0.0714111,3.99475,-99.9969,-99.9969,-99.9969,-99.9969,-0.012207,0.00915527,-0.00610352,-0.00305176,0,-0.00305176,0.0335693,0,0,0,-0.00305176,0.00305176,0,0
